label,xchannel,ychannel,zchannel,wsurf
%f,%f,%f,%f,%f
1612,999.119,936.181,98.443,100
1613,998.578,936.557,98.571,100
1614,998.554,937.052,98.733,100
1615,998.745,937.17,98.58,100
1616,999.15,936.941,98.423,100
1617,998.899,937.433,98.471,100
1618,998.481,937.368,99.139,100
1619,998.149,937.213,99.07,100
1620,999.006,937.731,98.464,100
1621,999.344,937.101,98.349,100
1622,999.403,936.844,98.543,100
1623,999.722,936.414,98.152,100
1624,1000.134,936.706,98.14,100
1625,999.783,937.031,98.239,100
1626,999.506,937.19,98.294,100
1627,999.247,937.604,98.367,100
1628,999.67,937.928,98.455,100
1629,999.861,937.43,98.299,100
1630,1000.092,936.918,98.15,100
1631,1000.388,936.464,98.125,100
1632,1000.755,936.852,98.143,100
1633,1000.553,937.273,98.181,100
1634,1000.295,937.646,98.172,100
1635,1000.038,938.09,98.328,100
1636,1000.4,938.221,98.358,100
1637,1000.651,937.842,98.211,100
1638,1000.823,937.51,98.148,100
1639,1001.016,937.092,98.134,100
1640,1001.198,936.689,98.079,100
1641,1001.667,936.708,98.212,100
1642,1002.036,937.025,98.25,100
1643,1001.883,937.423,98.257,100
1644,1001.546,937.831,98.43,100
1645,1001.345,938.19,98.411,100
1646,1001.36,938.517,98.504,100
1647,1001.512,938.786,98.585,100
1648,1001.73,938.452,98.539,100
1649,1001.856,938.066,98.424,100
1650,1002.055,937.708,98.378,100
1651,1002.23,937.186,98.319,100
1652,1002.722,937.359,98.424,100
1653,1002.438,937.959,98.526,100
1654,1003.117,937.581,98.66,100
1655,1002.767,937.911,98.633,100
1656,1002.363,938.246,98.67,100
1657,1003.013,937.908,98.875,100
1658,1002.64,938.416,98.752,100
1659,1002.314,938.286,98.621,100
1660,1001.966,938.595,98.688,100
1661,1002.382,938.889,98.903,100
1662,1002.008,938.952,98.804,100
1663,1001.494,938.809,98.615,100
1085,1000.47,937.919,98.463,100
1086,1001.194,935.44,98.053,100
1087,1000.3,937.013,98.318,100
1088,1002.265,936.424,98.158,100
1089,1001.313,937.554,98.404,100
1090,1003.223,935.598,98.194,100
1091,1002.168,935.194,98.018,100
1092,1001.182,934.624,98.114,100
1093,1000.841,935.207,97.901,100
1094,1000.61,936.397,98.16,100
1095,1001.624,936.441,98.055,100
1096,1002.282,936.701,98.251,100
1097,1001.545,938.05,98.401,100
1098,1000.581,937.677,98.173,100
1099,999.592,937.145,98.33,100
1100,1001.283,938.643,98.566,100
1101,1000.235,938.268,98.372,100
1102,998.971,937.645,98.464,100
1103,1000.202,936.634,98.143,100
1104,1000.751,935.591,98.093,100
1105,1001.257,934.527,98.171,100
1106,1002.524,935.004,98.085,100
1107,1001.621,936.255,97.901,100
1108,1001.111,937.32,98.164,100
1109,1001.254,938.661,98.528,100
1110,1001.243,938.659,98.527,100
1111,1002.151,937.139,98.296,100
1112,1002.986,935.828,98.254,100
1113,1003.766,936.336,98.455,100
1114,1003.117,937.185,98.506,100
1115,1001.856,938.853,98.784,100
1116,1001.061,937.562,98.203,100
1117,1000.122,937.093,98.159,100
1118,1001.604,935.375,97.777,100
1119,1002.424,935.86,98.038,100
2000,1001.928,939.387,98.885,100
2001,1001.632,939.829,98.9,100
2002,1001.259,940.084,98.938,100
2003,1001.012,939.965,98.874,100
2004,1001.174,939.519,98.774,100
2005,1001.399,939.194,98.712,100
2006,1001.034,939.023,98.639,100
2007,1000.804,939.348,98.7,100
2008,1000.483,939.722,98.753,100
